[0.006s][info][gc] Using Parallel
[3.538s][info ][safepoint      ] Total time for which application threads were stopped: 0.0000632 seconds, Stopping threads took: 0.0000089 seconds
[3.568s][info ][safepoint      ] Application time: 0.0299229 seconds
[3.568s][info ][safepoint      ] Entering safepoint region: RevokeBias
[3.568s][info ][safepoint      ] Leaving safepoint region
[3.568s][info ][safepoint      ] Total time for which application threads were stopped: 0.0001705 seconds, Stopping threads took: 0.0000427 seconds
[3.568s][info ][safepoint      ] Application time: 0.0000568 seconds
[3.568s][info ][safepoint      ] Entering safepoint region: RevokeBias
[3.568s][info ][safepoint      ] Leaving safepoint region
[3.568s][info ][safepoint      ] Total time for which application threads were stopped: 0.0001269 seconds, Stopping threads took: 0.0000456 seconds
[3.597s][info ][safepoint      ] Application time: 0.0289082 seconds
[3.597s][info ][safepoint      ] Entering safepoint region: RevokeBias
[3.598s][info ][safepoint      ] Leaving safepoint region
[3.598s][info ][safepoint      ] Total time for which application threads were stopped: 0.0001096 seconds, Stopping threads took: 0.0000133 seconds
[3.600s][info ][safepoint      ] Application time: 0.0021305 seconds
[3.600s][info ][safepoint      ] Entering safepoint region: RevokeBias
[3.600s][info ][safepoint      ] Leaving safepoint region
[3.600s][info ][safepoint      ] Total time for which application threads were stopped: 0.0000986 seconds, Stopping threads took: 0.0000281 seconds
[3.605s][info ][safepoint      ] Application time: 0.0049342 seconds
[3.605s][info ][safepoint      ] Entering safepoint region: RevokeBias
[3.605s][info ][safepoint      ] Leaving safepoint region
[3.605s][info ][safepoint      ] Total time for which application threads were stopped: 0.0001587 seconds, Stopping threads took: 0.0000255 seconds
[3.605s][info ][safepoint      ] Application time: 0.0000538 seconds
[3.605s][info ][safepoint      ] Entering safepoint region: RevokeBias
[3.605s][info ][safepoint      ] Leaving safepoint region
[3.605s][info ][safepoint      ] Total time for which application threads were stopped: 0.0000601 seconds, Stopping threads took: 0.0000097 seconds
[3.605s][info ][safepoint      ] Application time: 0.0000503 seconds
[3.605s][info ][safepoint      ] Entering safepoint region: RevokeBias
[3.605s][info ][safepoint      ] Leaving safepoint region
[3.605s][info ][safepoint      ] Total time for which application threads were stopped: 0.0000966 seconds, Stopping threads took: 0.0000188 seconds
[3.605s][info ][safepoint      ] Application time: 0.0000473 seconds
[3.605s][info ][safepoint      ] Entering safepoint region: RevokeBias
[3.605s][info ][safepoint      ] Leaving safepoint region
[3.605s][info ][safepoint      ] Total time for which application threads were stopped: 0.0001163 seconds, Stopping threads took: 0.0000483 seconds
[3.605s][info ][safepoint      ] Application time: 0.0000480 seconds
[3.605s][info ][safepoint      ] Entering safepoint region: RevokeBias
[3.605s][info ][safepoint      ] Leaving safepoint region
[3.606s][info ][safepoint      ] Total time for which application threads were stopped: 0.0000941 seconds, Stopping threads took: 0.0000248 seconds
[3.606s][info ][safepoint      ] Application time: 0.0000404 seconds
[3.606s][info ][safepoint      ] Entering safepoint region: BulkRevokeBias
[3.606s][info ][safepoint      ] Leaving safepoint region
[3.606s][info ][safepoint      ] Total time for which application threads were stopped: 0.0002300 seconds, Stopping threads took: 0.0000484 seconds
[3.612s][info ][safepoint      ] Application time: 0.0063048 seconds
[3.612s][info ][safepoint      ] Entering safepoint region: RevokeBias
[3.612s][info ][safepoint      ] Leaving safepoint region
[3.612s][info ][safepoint      ] Total time for which application threads were stopped: 0.0001161 seconds, Stopping threads took: 0.0000550 seconds
[3.613s][info ][safepoint      ] Application time: 0.0003703 seconds
[3.613s][info ][safepoint      ] Entering safepoint region: RevokeBias
[3.613s][info ][safepoint      ] Leaving safepoint region
[3.613s][info ][safepoint      ] Total time for which application threads were stopped: 0.0000940 seconds, Stopping threads took: 0.0000553 seconds
[3.663s][info ][safepoint      ] Application time: 0.0500587 seconds
[3.663s][info ][safepoint      ] Entering safepoint region: RevokeBias
[3.663s][info ][safepoint      ] Leaving safepoint region
[3.663s][info ][safepoint      ] Total time for which application threads were stopped: 0.0001555 seconds, Stopping threads took: 0.0000625 seconds
[3.663s][info ][safepoint      ] Application time: 0.0000808 seconds
[3.663s][info ][safepoint      ] Entering safepoint region: RevokeBias
[3.663s][info ][safepoint      ] Leaving safepoint region
